R1,R2,R3,R4,RSW1,RSW2,H1,H2,H3,H4,HSW1,HSW2,D1,D2,D3,D4,DSW1,DSW2,Kingdom,Phylum,Species
1.4,1.17,1.62,0.99,1.08,1.13,0.84,1.32,1.35,1.27,0.99,0.32,0.03,0,0.05,0.03,0.05,0,Bacteria,Spirochaetota,Spirochaeta 2
1.44,0.54,1.07,1.19,0.55,0.35,0.8,0.64,0.62,0.36,0.43,0.56,0.89,0.55,0.86,0.67,1.08,0.8,Bacteria,Verrucomicrobiota,WCHB1-41
0.97,0.88,0.2,0.7,1.2,1.62,0.71,0.22,0.45,0.59,0.67,0.3,0.58,0.81,0.74,0.86,0.45,0.43,Bacteria,Proteobacteria,Micavibrionaceae
1.5,1.66,0.37,1.25,1.79,1.81,0.7,0.3,0.43,0.65,0.65,0.55,0.11,0.07,0.07,0.1,0.11,0.17,Bacteria,Verrucomicrobiota,Persicirhabdus
0.16,0.2,0.16,0.12,0.32,0.35,0.26,0.1,0.19,0.24,0.24,1.05,0.76,2.37,0.9,0.51,1.4,2.91,Bacteria,Bacteroidota,Algibacter
0.36,0.58,0.19,0.66,1.02,0.68,1.13,0.35,0.69,1.14,1.28,0.8,0.47,0.42,0.49,0.23,1.02,0.57,Bacteria,Planctomycetota,Fuerstia
0.77,0.71,1.34,0.97,0.49,0.34,0.64,1.44,1.99,0.82,0.7,0.64,0.08,0.05,0.08,0.17,0.07,0.07,Bacteria,Verrucomicrobiota,MSBL3
0.35,0.16,0.18,0.36,0.3,0.32,1.97,0.95,1.38,1.84,1.79,1.48,0.01,0.01,0.03,0.07,0,0.02,Bacteria,Proteobacteria,Marinicaulis
0.07,0.19,0.12,0.14,0.18,0.16,1.24,0.65,1.13,0.94,1.45,2.69,0.29,0.37,0.1,0.05,1.06,0.32,Bacteria,Proteobacteria,HOC36
0.94,0.81,0.26,0.73,0.73,0.69,0.62,0.25,0.33,0.56,0.54,1.07,0.28,0.33,0.28,0.41,1.81,0.32,Bacteria,Bacteroidota,Chitinophagales
0.19,0.39,0.15,0.23,0.44,0.3,0.44,0.15,0.4,0.46,0.34,1.44,0.4,0.46,0.34,0.22,3.9,0.68,Bacteria,Proteobacteria,Roseobacter
