R1,R2,R3,R4,RSW1,RSW2,H1,H2,H3,H4,HSW1,HSW2,D1,D2,D3,D4,DSW1,DSW2,Kingdom,Phylum,Species
0.08,0.05,0.01,0.07,0.1,0.08,0.18,0.04,0.09,0.14,0.13,0.44,0.09,0.11,0.06,0.01,0.75,0.17,Bacteria,Proteobacteria,Marinibacterium
0.02,0.01,0.03,0.03,0.02,0.02,0.69,0.2,0.31,0.46,0.35,0.32,0,0,0,0,0.1,0.01,Bacteria,Bacteroidota,Spongiibacterium
0.26,0.37,0.08,0.41,0.19,0.2,0.11,0.09,0.06,0.07,0.12,0.18,0.09,0.06,0.06,0.06,0.11,0.03,Bacteria,Proteobacteria,Magnetospiraceae
0.24,0.3,0.13,0.23,0.29,0.5,0.16,0.06,0.1,0.13,0.22,0.13,0,0.01,0.01,0.03,0,0,Bacteria,Proteobacteria,Kordiimonas
0.11,0.06,0.12,0.14,0.23,0.23,0.17,0.08,0.07,0.23,0.18,0.2,0.05,0.11,0.08,0.09,0.33,0.05,Bacteria,Bacteroidota,Winogradskyella
0.12,0.15,0.09,0.23,0.12,0.28,0.32,0.09,0.08,0.22,0.22,0.07,0.08,0.07,0.17,0.1,0.01,0.09,Bacteria,Proteobacteria,Robiginitomaculum
0,0.02,0.01,0.02,0.01,0,0.49,0.25,0.27,0.5,0.48,0.42,0,0,0.01,0,0.02,0,Bacteria,Proteobacteria,Hyphococcus
0.17,0.11,0.07,0.18,0.16,0.17,0.18,0.06,0.1,0.16,0.2,0.1,0.15,0.14,0.19,0.15,0.11,0.06,Bacteria,Myxococcota,Sandaracinaceae
0.09,0.07,0.75,0.63,0.16,0.02,0.02,0.02,0.42,0.13,0.04,0.08,0,0,0,0,0.01,0,Bacteria,Desulfobacterota,Desulfobacterales
0.16,0.27,0.07,0.36,0.45,0.2,0.03,0.01,0.03,0.03,0.01,0.26,0.06,0.04,0.03,0.04,0.29,0.05,Bacteria,Proteobacteria,Oceanicoccus
0.25,0.22,0.07,0.2,0.34,0.22,0.2,0.03,0.06,0.22,0.2,0.18,0.04,0.02,0.01,0,0.06,0.03,Bacteria,Planctomycetota,Planctomycetales
0.01,0.01,0.01,0.04,0.04,0.02,0.1,0.04,0.06,0.15,0.06,0.49,0.02,0.03,0.01,0.03,1.15,0.08,Bacteria,Proteobacteria,Halieaceae
0.27,0.28,0.11,0.09,0.2,0.2,0.05,0.02,0.03,0.07,0.01,0.02,0.08,0.24,0.14,0.07,0.06,0.35,Bacteria,Proteobacteria,Sulfitobacter
0.21,0.05,0.67,0.21,0.06,0.03,0.07,0.08,0.59,0.17,0.09,0,0.01,0.01,0.01,0.01,0.02,0,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia (SAR406 clade)
0.18,0.24,0.04,0.08,0.07,0.28,0.05,0.01,0.02,0.07,0.03,0,0.24,0.21,0.24,0.25,0.04,0.17,Bacteria,Proteobacteria,Diplorickettsiaceae
0.04,0.1,0.17,0.09,0.17,0.15,0.01,0.01,0.01,0,0.01,0.05,0.25,0.14,0.36,0.28,0.14,0.24,Bacteria,Proteobacteria,Agarilytica
0.66,0.2,0.78,0.33,0.11,0.05,0.02,0.01,0.01,0.01,0.02,0,0,0,0,0,0,0,Bacteria,Spirochaetota,MVP-15
0.24,0.03,0.29,0.05,0.02,0.04,0.01,0.01,0,0.03,0.02,0,0.08,0.11,0.1,1.13,0,0.01,Bacteria,Cyanobacteria,Gastranaerophilales
0,0,0,0.01,0,0,0.41,0.26,0.28,0.73,0.29,0.14,0,0,0.01,0,0.02,0,Bacteria,Proteobacteria,Devosia
0.01,0.06,0.04,0.08,0.13,0.03,0.32,0.36,0.23,0.22,0.25,0.18,0,0.04,0.04,0.01,0.13,0.02,Bacteria,Proteobacteria,Candidatus Riegeria
0.27,0.19,0.11,0.19,0.12,0.21,0,0.01,0,0.03,0.01,0.01,0.11,0.2,0.24,0.2,0.08,0.16,Bacteria,Proteobacteria,Paracaedibacteraceae
0.06,0.03,0,0.05,0.08,0.08,0.19,0.11,0.14,0.15,0.22,0.14,0.05,0.03,0.03,0.01,0.71,0.06,Bacteria,Proteobacteria,Unknown Family
1.39,0.22,0.3,0.06,0.02,0,0,0,0,0,0,0,0.01,0,0,0.11,0,0,Bacteria,Proteobacteria,Thalassospira
0.03,0.01,0.03,0.02,0.04,0.04,0,0,0,0,0,0,0.15,0.71,0.18,0.22,0.08,0.57,Bacteria,Bacteroidota,Crocinitomicaceae
0.23,0.23,0.46,0.6,0.21,0.2,0.02,0.01,0.05,0.03,0,0.04,0,0,0,0,0,0,Bacteria,Desulfobacterota,Desulforhopalus
0,0,0,0.01,0,0,0.09,0.01,0.04,0.07,0.06,0.05,0.46,0.51,0.08,0.24,0.02,0.43,Bacteria,Bacteroidota,Luteibaculum
0.2,0.24,0.08,0.16,0.35,0.16,0.05,0.03,0.03,0.03,0.03,0.1,0.06,0.15,0.06,0.08,0.09,0.13,Bacteria,Proteobacteria,Glaciecola
0.04,0.07,0.04,0.1,0.01,0.03,0.12,0.09,0.12,0.1,0.09,0.02,0.27,0.24,0.26,0.22,0.08,0.08,Bacteria,Fusobacteriota,Propionigenium
0.01,0.01,0.01,0.02,0.04,0.02,0.15,0.02,0.13,0.1,0.1,0.41,0.06,0.05,0.01,0.05,0.72,0.06,Bacteria,Proteobacteria,Halioglobus
0.02,0,0,0.03,0.02,0.03,0.39,0.2,0.3,0.32,0.35,0.24,0,0.01,0.01,0.01,0,0,Bacteria,Proteobacteria,Jannaschia
0.02,0.03,0.02,0.04,0.03,0.05,0.2,0.06,0.12,0.22,0.27,0.06,0.24,0.07,0.24,0.1,0.03,0.11,Bacteria,Cyanobacteria,Caenarcaniphilales
0.1,0.13,0.13,0.06,0.27,0.04,0.01,0,0,0,0,0,0.22,0.24,0.19,0.09,0.06,0.37,Bacteria,Proteobacteria,Amylibacter
0.02,0.06,0.04,0.03,0.06,0.05,0.08,0.36,0.1,0.08,0.09,0.2,0.06,0.11,0.19,0.18,0.1,0.08,Bacteria,Proteobacteria,Vibrionaceae
0.19,0.44,0.15,0.26,0.28,0.22,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.03,0.03,0.01,0.05,0.12,Bacteria,Proteobacteria,Aestuariibacter
0.02,0.03,0,0.03,0,0.02,0.01,0,0,0.01,0,0,0.29,0.27,0.39,0.41,0.02,0.36,Bacteria,Proteobacteria,Candidatus Berkiella
0.06,0.07,0.02,0.14,0.03,0.06,0.36,0.12,0.17,0.26,0.3,0.22,0.01,0.01,0.01,0.01,0,0,Bacteria,Proteobacteria,Ketobacter
0,0,0,0,0,0,0.49,0.14,0.35,0.25,0.36,0.23,0,0,0,0,0.02,0,Bacteria,Bacteroidota,Rubidimonas
0.03,0.08,0.03,0.07,0.06,0.09,0.06,0.08,0.08,0.05,0.1,0.08,0.13,0.32,0.21,0.05,0.09,0.21,Bacteria,Proteobacteria,Colwelliaceae
0.24,0.18,0.04,0.25,0.22,0.45,0.04,0.02,0.03,0.01,0.06,0.16,0.04,0.01,0.03,0.01,0,0.01,Bacteria,Acidobacteriota,PAUC26f
0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0.34,0.4,0.33,0.35,0.17,0.18,Bacteria,Proteobacteria,Francisella
0.01,0.02,0.05,0.01,0.03,0.05,0.08,0.01,0.1,0.08,0.1,0.16,0.15,0.17,0.23,0.11,0.39,0.04,Bacteria,Bacteroidota,Vicingus
0.01,0.06,0,0.05,0.13,0.05,0.25,0.06,0.07,0.17,0.09,0.22,0.08,0.04,0.02,0,0.39,0.04,Bacteria,Dadabacteria,Dadabacteriales
0.04,0.01,0,0.48,0.01,0.02,0.04,0.02,0.03,0.1,0.09,0.06,0.27,0.19,0.09,0.09,0,0.19,Bacteria,Proteobacteria,Cellvibrionaceae
0.17,0.1,0.21,0.13,0.06,0.03,0.04,0.08,0.04,0.09,0.06,0.02,0.13,0.16,0.14,0.16,0.06,0.04,Archaea,Nanoarchaeota,Woesearchaeales
0.24,0.15,0.08,0.08,0.15,0.12,0.12,0.06,0.03,0.12,0.21,0.13,0.04,0,0.05,0.02,0.08,0.03,Bacteria,Proteobacteria,Breoghania
0,0,0,0,0.02,0,0.33,0.18,0.14,0.35,0.37,0.24,0.01,0,0.01,0.01,0.04,0,Bacteria,Bacteroidota,Ulvibacter
0,0,0,0,0,0,0,0,0,0,0,1.42,0.04,0,0.06,0.05,0.02,0.08,Bacteria,Bacteroidota,Ascidiimonas
0.04,0,0,0.04,0.06,0.01,0.18,0.04,0.07,0.08,0.09,0.36,0.03,0.11,0.08,0.08,0.33,0.07,Bacteria,Proteobacteria,Pelagimonas
0.14,0.17,0.05,0.15,0.14,0.11,0.07,0.09,0.09,0.07,0.13,0.08,0.04,0.08,0.08,0.07,0.06,0.04,Bacteria,Desulfobacterota,Desulfobacterota
0.17,0.22,0.08,0.16,0.34,0.17,0.03,0.03,0.03,0.07,0.04,0.01,0.04,0.04,0.04,0.02,0.05,0.05,Bacteria,Bacteroidota,NS9 marine group
0,0.01,0.01,0.03,0.07,0.03,0,0.01,0,0,0,0.1,0.06,0.06,0.01,0.05,1.02,0.12,Bacteria,Bacteroidota,Lutimonas
0.08,0.06,0.03,0.04,0.16,0.11,0.31,0.06,0.16,0.15,0.11,0.12,0,0.04,0.05,0.05,0,0.02,Bacteria,Actinobacteriota,Mycobacterium
0.05,0.02,0.54,0.25,0.02,0.09,0.17,0.18,0.04,0.05,0.08,0.04,0,0,0,0.01,0,0,Bacteria,Firmicutes,Peptostreptococcales-Tissierellales
0,0.06,0.03,0.02,0,0.03,0.2,0.06,0.05,0.24,0.14,0.12,0.13,0.11,0.06,0.11,0.11,0.04,Bacteria,Proteobacteria,Ahrensia
0.12,0.03,0.01,0.05,0.05,0.02,0.16,0.12,0.2,0.19,0.48,0.07,0,0,0,0,0,0,Bacteria,Proteobacteria,NKB5
0.11,0.16,0.08,0.15,0.26,0.11,0.02,0.02,0,0.03,0,0,0.18,0.08,0.11,0.09,0.03,0.06,Bacteria,Proteobacteria,Methylomonadaceae
0,0,0.04,0.01,0.01,0.01,0.21,0.13,0.35,0.26,0.14,0.1,0,0,0,0,0.13,0,Bacteria,Desulfobacterota,Desulfobulbus
0.04,0.13,0.04,0.08,0.08,0.11,0.07,0,0.05,0.06,0.04,0.04,0.13,0.09,0.1,0.14,0.1,0.08,Bacteria,Planctomycetota,Gimesiaceae
0.19,0.33,0.12,0.25,0.08,0.08,0.12,0.06,0.03,0.03,0.06,0,0.01,0.01,0,0,0,0,Bacteria,Patescibacteria,Absconditabacteriales (SR1)
0.23,0.04,0.52,0.28,0.17,0.04,0.02,0,0.06,0,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,Hungateiclostridiaceae
0.87,0.23,0.02,0.02,0.03,0,0.02,0.02,0,0.02,0.01,0,0.01,0.02,0,0,0.05,0.03,Bacteria,Bacteroidota,Salegentibacter
0.14,0.08,0.06,0.08,0.08,0.16,0.01,0.02,0.01,0.02,0.06,0.04,0.05,0.13,0.17,0.09,0.05,0.09,Bacteria,Planctomycetota,Phycisphaera
0.06,0.07,0.02,0.12,0.14,0.15,0.09,0.06,0.06,0.09,0.11,0.22,0.01,0,0,0.01,0.07,0.03,Bacteria,Proteobacteria,Sneathiella
0.12,0.1,0.05,0.06,0.08,0.08,0.1,0.05,0.1,0.11,0.09,0.05,0.07,0.04,0.09,0.05,0.04,0.02,Bacteria,Bacteroidota,Sabulilitoribacter
0.13,0.17,0.04,0.14,0.38,0.13,0.02,0.01,0.04,0.03,0.11,0.01,0.01,0.01,0.04,0.02,0.01,0,Bacteria,Myxococcota,P3OB-42
0.01,0.01,0.08,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.04,0.14,0.03,0.18,0.09,0.05,0.25,0.16,Bacteria,Proteobacteria,Candidatus Photodesmus
0.18,0.2,0.03,0.1,0.16,0.17,0.02,0.01,0.01,0.04,0,0,0.06,0.02,0.08,0.04,0.1,0.07,Bacteria,Proteobacteria,Anderseniella
0.01,0.06,0.03,0.05,0.06,0.07,0.09,0.02,0.06,0.07,0.07,0.38,0.04,0.01,0.03,0.06,0.13,0.03,Bacteria,Myxococcota,BIrii41
0.22,0.16,0.06,0.15,0.22,0.15,0.03,0.01,0.05,0.05,0.06,0,0.02,0.01,0.01,0.01,0.06,0,Bacteria,Proteobacteria,KI89A clade
0.02,0.01,0.02,0.07,0.11,0.07,0.08,0.02,0.07,0.14,0.09,0.06,0.07,0.04,0.13,0.11,0.02,0.14,Bacteria,Proteobacteria,Legionella
0,0,0,0,0,0,0.2,0.08,0.13,0.22,0.19,0.02,0.04,0.09,0.1,0.05,0.06,0.08,Bacteria,Bacteroidota,Tenacibaculum
0,0.01,0.02,0.01,0.02,0.05,0.08,0.03,0.1,0.11,0.17,0.06,0.07,0.08,0.08,0.13,0.11,0.11,Bacteria,Proteobacteria,Marinagarivorans
0,0.03,0.01,0.03,0.04,0.02,0.07,0.01,0.06,0.06,0.29,0.32,0.05,0.04,0.05,0.05,0.1,0,Bacteria,Planctomycetota,BD7-11
0.1,0.1,0.03,0.15,0.17,0.13,0.12,0.03,0.04,0.08,0.14,0.01,0.04,0.04,0.02,0,0.03,0,Bacteria,Hydrogenedentes,Hydrogenedensaceae
0.04,0.1,0.06,0.22,0.07,0.22,0.05,0.02,0.07,0.05,0.04,0.05,0.04,0,0.05,0.03,0.06,0.03,Bacteria,Planctomycetota,Phycisphaeraceae
0.15,0.07,0.03,0.11,0.3,0.19,0.01,0.03,0.01,0,0.02,0.01,0.02,0.07,0.08,0.05,0,0.05,Bacteria,Proteobacteria,Parvularcula
0.19,0.04,0.01,0.13,0.27,0.17,0,0,0,0,0,0,0.06,0.08,0.1,0.09,0.02,0.03,Bacteria,Verrucomicrobiota,Chlamydiales
0.02,0.08,0.03,0.03,0.11,0.11,0.02,0.01,0,0.02,0.02,0.17,0,0.04,0,0.01,0.48,0,Bacteria,Proteobacteria,Woeseia
0.1,0.1,0.08,0.1,0.21,0.13,0.07,0.02,0.03,0.03,0.03,0.01,0.06,0.02,0.06,0,0.02,0.07,Bacteria,Proteobacteria,Lacibacterium
0,0,0,0,0,0,0.3,0.09,0.18,0.19,0.15,0.18,0,0,0,0.01,0.01,0,Bacteria,Proteobacteria,Roseovarius
0.14,0.06,0.01,0.06,0.02,0.04,0.08,0.06,0.04,0.07,0.08,0.08,0.06,0.04,0.11,0.08,0.06,0.01,Bacteria,Proteobacteria,Sedimenticolaceae
0,0,0,0,0,0,0.12,0.04,0.03,0.07,0.02,0.36,0.01,0.05,0.03,0.01,0.36,0,Bacteria,Proteobacteria,Thalassobius
0.05,0.04,0.03,0.02,0.01,0,0.02,0.03,0.07,0.09,0,0,0.19,0.08,0.18,0.24,0,0.02,Bacteria,Proteobacteria,Pantoea
0.06,0.09,0.08,0.07,0.08,0.06,0.11,0.13,0.08,0.09,0.09,0.11,0,0.01,0,0.01,0,0,Bacteria,Firmicutes,Caldisalinibacter
0.06,0.03,0.01,0.03,0,0.01,0.04,0.01,0.02,0.02,0.02,0.02,0.17,0.11,0.18,0.13,0.06,0.14,Bacteria,Proteobacteria,AB1
0.01,0.01,0.03,0,0.01,0,0.04,0.06,0.01,0.03,0.05,0.28,0.01,0.06,0.04,0.01,0.39,0.01,Bacteria,Proteobacteria,Pelagicola
0.04,0.03,0.01,0.16,0.12,0.02,0.12,0.02,0.11,0.12,0.19,0.04,0,0,0,0,0.06,0,Bacteria,Planctomycetota,SGST604
0.03,0.1,0,0.05,0.06,0.02,0.15,0.06,0.01,0.07,0.06,0.16,0.01,0.01,0,0.03,0.13,0.08,Bacteria,Proteobacteria,Thalassobaculales
0,0,0,0,0,0,0.07,0.05,0.03,0.06,0.02,0.28,0.01,0,0,0,0.49,0,Bacteria,Proteobacteria,OM60(NOR5) clade
0.07,0.13,0.05,0.18,0.14,0.14,0.04,0.03,0.03,0.02,0.02,0.02,0.05,0.03,0.01,0,0,0.04,Bacteria,Desulfobacterota,Bradymonadales
0.01,0.02,0.04,0.05,0,0.07,0.02,0.01,0.03,0.05,0.03,0,0.1,0.1,0.23,0.12,0,0.12,Bacteria,Proteobacteria,Oleispira
0.05,0.11,0.03,0.13,0.09,0.1,0.05,0.01,0.12,0.09,0.14,0.04,0,0,0.01,0.03,0,0,Bacteria,Margulisbacteria,Margulisbacteria
0.06,0.1,0.05,0.09,0.07,0.2,0.04,0.02,0.02,0.01,0,0.05,0.05,0.05,0.01,0.01,0.09,0.06,Bacteria,Proteobacteria,Halomonadaceae
0.01,0.03,0.01,0.01,0.02,0,0,0,0,0,0.01,0,0.36,0.07,0.2,0.18,0.02,0.06,Bacteria,Verrucomicrobiota,Omnitrophia
0,0,0,0,0,0,0.32,0.12,0.16,0.17,0.17,0,0.01,0,0,0,0,0,Bacteria,Bacteroidota,Psychroflexus
0.02,0,0.02,0.02,0.03,0.03,0.01,0,0,0,0,0,0.1,0.15,0.12,0.07,0.07,0.3,Bacteria,Bacteroidota,Fluviicola
0.11,0.11,0.1,0.04,0.09,0.14,0.02,0.02,0.02,0.02,0.05,0.08,0.09,0.02,0.01,0.02,0,0,Bacteria,Cyanobacteria,Obscuribacteraceae
0,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.04,0.01,0.39,0.05,0.03,0.06,0.27,Bacteria,Bacteroidota,Postechiella
0.04,0.09,0.01,0.06,0.08,0.05,0.01,0.01,0.03,0.06,0.03,0.04,0.07,0.09,0.12,0.04,0.04,0.04,Bacteria,Bacteroidota,Maribacter
0,0.04,0,0.01,0.03,0.02,0.12,0.11,0.09,0.11,0.23,0.05,0.02,0,0.01,0.03,0.02,0.01,Bacteria,Planctomycetota,Pla3 lineage
0.04,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0.1,0.18,0.11,0.2,0.04,0.2,Bacteria,Proteobacteria,Parvibaculaceae
0.01,0.03,0.01,0.04,0.01,0.03,0.02,0.05,0.02,0.02,0.06,0.06,0.07,0.07,0.12,0.18,0.02,0.07,Bacteria,Verrucomicrobiota,Lentimonas
0.06,0.03,0,0.03,0.01,0.03,0,0,0,0.01,0,0,0.25,0.04,0.19,0.16,0,0.07,Bacteria,Planctomycetota,Pla4 lineage
0.01,0.06,0.01,0.06,0,0.03,0.07,0.03,0.03,0.01,0.09,0.2,0.06,0.05,0.05,0.04,0.05,0.01,Bacteria,Fibrobacterota,Fibrobacteraceae
0.02,0.03,0.37,0.08,0.01,0,0.07,0.2,0.07,0.01,0,0,0,0,0,0,0,0,Bacteria,Spirochaetota,Spirochaetaceae
0.01,0,0,0.01,0.03,0,0.01,0.01,0,0,0.01,0.16,0.12,0.07,0.03,0.07,0.32,0,Bacteria,Myxococcota,Nannocystis
0.01,0.03,0,0.06,0.06,0.1,0.02,0.01,0.01,0.04,0.04,0.04,0.06,0.06,0.07,0.12,0.03,0.09,Bacteria,Planctomycetota,Blastopirellula
0.04,0.05,0.02,0.01,0.08,0.03,0.06,0,0.04,0.04,0.06,0.06,0.01,0.01,0.01,0.01,0.29,0.01,Bacteria,NB1-j,NB1-j
0,0,0.02,0.01,0,0.01,0.01,0.03,0.03,0.04,0.07,0.18,0,0,0.01,0.01,0.4,0,Bacteria,Bdellovibrionota,Oligoflexaceae
0,0,0.01,0.03,0.03,0.02,0.05,0.02,0.02,0.02,0.01,0.07,0.01,0.03,0.02,0,0.44,0.03,Bacteria,Proteobacteria,Marimicrobium
0,0,0,0,0,0,0.02,0.04,0.1,0.06,0,0,0.15,0.03,0.17,0.2,0,0.03,Bacteria,Proteobacteria,Candidatus Cryptoprodotis
0.07,0.12,0.05,0.13,0.19,0.11,0,0.01,0,0,0,0,0.04,0.02,0.01,0.01,0.02,0.01,Bacteria,Bacteroidota,Aestuariimonas
0.19,0.16,0.08,0.11,0.13,0.11,0,0,0,0,0,0,0,0,0.01,0,0,0,Bacteria,Proteobacteria,Psychrosphaera
0.02,0.03,0,0.04,0.07,0.08,0.05,0.04,0.04,0.04,0.07,0.07,0.04,0.04,0.06,0.05,0.03,0.02,Bacteria,Planctomycetota,Rubripirellula
0.02,0.01,0.17,0.03,0,0,0.05,0.1,0.29,0.07,0.04,0,0,0,0,0,0,0,Bacteria,Spirochaetota,Sediminispirochaeta
0.03,0.01,0.02,0.07,0.11,0.02,0.05,0.02,0.02,0.05,0.02,0.01,0.06,0.02,0.06,0.07,0.06,0.06,Bacteria,Bacteroidota,Pseudofulvibacter
0,0,0,0,0.01,0,0.05,0.02,0.03,0.02,0.07,0.23,0.01,0.03,0,0,0.29,0,Bacteria,Bacteroidota,Tamlana
0.01,0.03,0,0.02,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.08,0.1,0.07,0.11,0.08,Bacteria,Actinobacteriota,Microbacterium
0.12,0.11,0.06,0.11,0.07,0.23,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,Bacteria,Bacteroidota,Bacteroidota
0.02,0.03,0.04,0.05,0.09,0.09,0.06,0.02,0.07,0.07,0.09,0.1,0,0,0,0.01,0,0,Bacteria,Proteobacteria,UBA10353 marine group
0.02,0.01,0,0.01,0.08,0.02,0.02,0.01,0,0.05,0.06,0.04,0.17,0.1,0.1,0.05,0,0,Bacteria,Verrucomicrobiota,Arctic95B-14
0.08,0.08,0.06,0.09,0.13,0.05,0.05,0.01,0.02,0.03,0.04,0.05,0.01,0,0.01,0.01,0,0.01,Bacteria,Acidobacteriota,Subgroup 10
0.01,0.01,0.04,0.05,0.1,0.11,0.02,0.01,0.02,0.03,0.03,0.06,0.01,0.07,0.01,0.01,0.02,0.11,Bacteria,Proteobacteria,Pseudobowmanella
0.05,0.03,0.02,0.08,0.03,0.08,0.05,0.02,0.01,0.02,0.01,0.02,0.06,0.11,0.05,0.07,0,0.01,Bacteria,Proteobacteria,Lentilitoribacter
0.03,0.06,0.01,0.02,0,0.02,0.1,0.03,0.1,0.05,0.23,0.04,0.01,0,0,0,0,0,Bacteria,Verrucomicrobiota,Candidatus Omnitrophus
0.01,0.01,0,0.01,0,0,0.01,0.01,0.02,0.04,0,0.02,0.07,0.17,0.07,0.09,0.01,0.13,Bacteria,Proteobacteria,Samsonia
0.11,0.11,0.13,0.04,0.07,0.08,0.01,0.03,0.02,0.04,0.02,0,0,0,0,0,0,0,Bacteria,Firmicutes,Clostridia UCG-014
0,0,0,0,0,0,0.11,0.05,0.07,0.09,0.15,0.19,0,0,0,0,0,0,Bacteria,Proteobacteria,Fokiniaceae
0.02,0,0.01,0.01,0.02,0.03,0,0.01,0,0.01,0.01,0.01,0.06,0.18,0.06,0.03,0.04,0.16,Bacteria,Proteobacteria,Litorilituus
0.04,0.13,0.09,0.07,0.09,0.11,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.05,0.01,0,0,Bacteria,Proteobacteria,Psychrobium
0,0.02,0,0.05,0.01,0.03,0.08,0.02,0.01,0.03,0.06,0.13,0,0,0,0.01,0.17,0.01,Bacteria,Bacteroidota,Ekhidna
0.01,0,0,0.02,0.03,0.03,0.01,0,0.01,0.01,0.01,0.04,0.06,0.09,0.05,0.17,0.02,0.07,Bacteria,Proteobacteria,Proteobacteria
0.04,0.01,0,0.03,0.01,0.02,0.01,0,0,0,0.01,0,0.19,0.07,0.1,0.08,0,0.06,Bacteria,Verrucomicrobiota,Pelagicoccus
0.06,0.16,0.07,0.18,0.02,0.08,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,Bacteria,Firmicutes,Lactobacillales
0,0,0,0,0.05,0.03,0,0,0,0,0,0,0.04,0.11,0.02,0.04,0.05,0.28,Bacteria,Bacteroidota,Actibacter
0.06,0.02,0,0.07,0.13,0.08,0.02,0.01,0.02,0.05,0.07,0.02,0.01,0,0.01,0.03,0,0.01,Bacteria,Bdellovibrionota,Bdellovibrio
0.06,0.09,0.03,0.11,0.1,0.15,0,0,0,0,0,0.01,0.01,0.03,0.01,0,0,0.01,Bacteria,Proteobacteria,C1-B045
0.02,0.02,0,0.01,0,0.01,0.05,0.03,0.07,0.07,0.12,0.07,0.02,0.04,0.01,0.03,0,0.04,Bacteria,Proteobacteria,Profundibacterium
0.07,0.05,0.01,0.04,0.03,0.07,0.13,0.01,0.01,0.05,0.09,0,0,0,0,0,0.02,0.01,Bacteria,Proteobacteria,Nitrosospira
0,0,0.01,0,0,0,0.42,0,0,0.01,0.01,0.07,0,0.01,0,0,0.06,0,Bacteria,Proteobacteria,Maribius
0.11,0.06,0.05,0.1,0.03,0.08,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0,0,0,0.04,0,Bacteria,Proteobacteria,OM182 clade
0.07,0.2,0.08,0.11,0.05,0.06,0,0,0.01,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Photobacterium
0.01,0.03,0.19,0.05,0,0.02,0.01,0.19,0.01,0.03,0.02,0,0,0,0,0,0,0.01,Bacteria,Firmicutes,Anaerovoracaceae
0.06,0.01,0.01,0.02,0.03,0.02,0.09,0.05,0.06,0.1,0.06,0,0,0,0.03,0.03,0,0,Bacteria,Patescibacteria,Saccharimonadales
0,0,0,0,0,0.01,0.17,0.05,0.01,0.15,0.09,0.04,0,0.01,0,0,0.02,0,Bacteria,Proteobacteria,Sphingomonadaceae
0,0,0,0,0,0.01,0.01,0,0,0,0,0.1,0,0,0,0,0.43,0,Bacteria,Proteobacteria,Cognatishimia
0.01,0.02,0.01,0.02,0.07,0.02,0.01,0,0,0.01,0,0,0.03,0.05,0.1,0.06,0.01,0.11,Bacteria,Bacteroidota,Kapabacteriales
0.01,0,0.01,0,0.1,0.02,0.04,0.02,0.04,0.05,0.08,0.06,0.01,0.01,0.01,0.03,0.03,0,Bacteria,Bacteroidota,Fabibacter
0,0.01,0,0.07,0.03,0.03,0.03,0.01,0.03,0,0.03,0.14,0.01,0,0.02,0.01,0.09,0.01,Bacteria,Desulfobacterota,PB19
0,0,0,0,0,0.01,0.02,0.02,0.01,0.01,0.02,0.24,0.04,0.04,0.05,0.04,0,0.01,Bacteria,Fibrobacterota,possible genus 06
0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.09,0.14,0.1,0,0.11,Bacteria,Bacteroidota,Flavicella
0.01,0.03,0.02,0.03,0,0.07,0.02,0.03,0.05,0.07,0.03,0.02,0.04,0.03,0.01,0,0.02,0.02,Bacteria,Proteobacteria,Filomicrobium
0,0,0.01,0,0.03,0.01,0,0.01,0,0.01,0,0.05,0.05,0.04,0.06,0.01,0.14,0.07,Bacteria,Bacteroidota,Bizionia
0.16,0.06,0.03,0.1,0.07,0.06,0,0,0,0,0,0,0,0.01,0,0,0,0,Bacteria,Proteobacteria,Kiloniella
0,0,0,0,0,0.02,0.08,0.02,0.03,0.07,0.06,0.04,0.01,0.02,0.05,0,0.07,0.01,Bacteria,Planctomycetota,SM1A02
0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.26,0.07,0.09,0,0.05,Bacteria,Bacteroidota,Garritya
0.1,0.1,0.05,0.07,0.08,0.02,0.02,0,0.01,0.02,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Candidatus Peribacteria
0.05,0.09,0.01,0.04,0.03,0.08,0.04,0.01,0.01,0,0.03,0.02,0.01,0.03,0.02,0,0,0,Bacteria,Verrucomicrobiota,Methylacidiphilaceae
0.06,0.01,0.01,0.07,0.01,0.05,0.03,0.01,0.03,0.04,0.01,0.01,0.08,0,0,0.02,0.02,0.01,Bacteria,Proteobacteria,Salinisphaera
0.02,0.02,0.01,0.06,0.19,0.07,0,0,0,0,0,0,0.01,0.02,0.01,0.02,0.02,0.02,Bacteria,Bacteroidota,Schleiferia
